0,1,2,3,4,Selected,5,6,7,8,Selected (1)
continuous,continuous,continuous,continuous,continuous,No Yes,continuous,continuous,continuous,continuous,No Yes
,,,,,,,,,,meta
1.0,0.0,0.0,0.0,1503961200.000001,No,342.5445792274191,,,,No
0.0,0.0,0.0,0.0,1503962100.0,No,339.6666981440293,,,,No
0.0,0.0,0.0,0.0,1503962999.999999,No,336.4648188954192,,,,No
0.0,0.0,0.0,0.0,1503963900.000001,No,333.8580950862619,,,,No
0.0,0.0,0.0,0.0,1503964800.0,No,331.3090838252619,,,,No
0.0,0.0,0.0,0.0,1503965699.999999,No,328.9612457251544,,,,No
0.0,0.0,0.0,0.0,1503966600.000001,No,327.0514449027058,,,,No
0.0,0.0,0.0,0.0,1503967500.0,No,326.5161989787136,,,,No
0.0,0.0,0.0,0.0,1503968399.999999,No,328.4354290780063,,,,No
0.0,0.0,0.0,0.0,1503969300.000001,No,328.8137098294436,,,,No
0.0,0.0,0.0,0.0,1503970200.0,No,330.586519365916,,,,No
0.0,0.0,0.0,0.0,1503971099.999999,No,330.7952393243454,,,,No
0.0,0.0,0.0,0.0,1503972000.000001,No,330.8496548456844,,,,No
0.0,0.0,0.0,0.0,1503972900.0,No,331.152954574917,,,,No
0.0,0.0,0.0,0.0,1503973799.999999,No,331.945480661058,,,,No
0.0,0.0,0.0,0.0,1503974700.000001,No,332.819516712207,,,,No
0.0,0.0,0.0,0.0,1503975600.0,No,333.7695187928609,,,,No
0.0,0.0,0.0,0.0,1503976499.999999,No,334.7899429675169,,,,No
0.0,0.0,0.0,0.0,1503977400.000001,No,335.8752453006718,,,,No
0.0,0.0,0.0,0.0,1503978300.0,No,337.0198818568226,,,,No
0.0,0.0,0.0,0.0,1503979199.999999,No,338.2183087004663,,,,No
0.0,0.0,0.0,0.0,1503980100.000001,No,339.4649818960999,,,,No
0.0,0.0,0.0,0.0,1503981000.0,No,340.7543575082203,,,,No
0.0,0.0,0.0,0.0,1503981899.999999,No,342.0808916013244,,,,No
0.0,0.0,0.0,0.0,1503982800.000001,No,343.4390402399094,,,,No
0.0,0.0,0.0,0.0,1503983700.0,No,344.8232594884721,,,,No
0.0,0.0,0.0,0.0,1503984599.999999,No,346.2504499519997,,,,No
0.0,0.0,0.0,0.0,1503985500.000001,No,347.2792299935703,,,,No
0.0,0.0,0.0,0.0,1503986400.0,No,348.4935644722313,,,,No
0.0,0.0,0.0,0.0,1503987299.999999,No,349.5965147429987,,,,No
0.0,0.0,0.0,0.0,1503988200.000001,No,350.8852386568578,,,,No
0.0,0.0,0.0,0.0,1503989100.0,No,351.9697405607624,,,,No
0.0,0.0,0.0,0.0,1503989999.999999,No,352.8978712976357,,,,No
0.0,0.0,0.0,0.0,1503990900.000001,No,353.6615782063696,,,,No
1.0,0.0,0.0,0.0,1503991800.0,No,354.2156551218248,,,,No
0.0,0.0,0.0,0.0,1503992699.999999,No,354.1402423748312,,,,No
0.0,0.0,0.0,0.0,1503993600.000001,No,353.9533267921876,,,,No
0.0,0.0,0.0,0.0,1503994500.0,No,354.1482416966616,,,,No
1.0,0.0,0.0,0.0,1503995399.999999,No,354.2061669069898,,,,No
0.0,0.0,0.0,0.0,1503996300.000001,No,354.1023787378778,,,,No
0.0,0.0,0.0,0.0,1503997200.0,No,353.9062500000001,,,,No
0.0,0.0,0.0,0.0,1503998099.999999,No,351.9687500000001,,,,No
0.0,0.0,0.0,0.0,1503999000.000001,No,350.7812500000001,,,,No
0.0,0.0,0.0,0.0,1503999900.0,No,348.6250000000001,,,,No
0.0,0.0,0.0,0.0,1504000799.999999,No,345.6750000000001,,,,No
0.0,0.0,0.0,0.0,1504001700.000001,No,342.7937500000001,,,,No
0.0,0.0,0.0,0.0,1504002600.0,No,339.9750000000001,,,,No
0.0,0.0,0.0,0.0,1504003499.999999,No,337.1062500000001,,,,No
0.0,0.0,0.0,0.0,1504004400.000001,No,334.1312500000001,,,,No
