bulk speed,Vmax (kts) IRMA,Vmax (kts) JOSE,Vmax (kts) KATIA,pick_bulk,pick_Irma,pick_Jose,pick_Katia,Selected,dependence,Selected (1),date,Selected (2)
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,string,discrete
,,,,,,,,,,class,meta,meta
377.940457795677,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T19:15%:00Z,No
376.552013643462,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T19:30%:00Z,No
375.2431618311828,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T19:44%:59Z,No
374.961872277472,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T20:00%:00Z,No
375.1514485904497,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T20:15%:00Z,No
374.9472862044876,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T20:29%:59Z,No
374.9331223802088,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T20:45%:00Z,No
374.5910362044876,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T21:00%:00Z,No
374.6576985904497,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T21:14%:59Z,No
374.7431222774719,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T21:30%:00Z,No
375.1744118311828,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T21:45%:00Z,No
375.7770136434619,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T21:59%:59Z,No
377.1497159324403,,,,1.0,0.0,0.0,0.0,No,0,No,2017-08-29T22:15%:00Z,No
378.5458987425003,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T22:30%:00Z,No
379.4485339442756,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T22:44%:59Z,No
379.7389352346512,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T23:00%:00Z,No
380.4717581367635,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T23:15%:00Z,No
381.5250000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T23:29%:59Z,No
382.0625000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T23:45%:00Z,No
381.7937500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T00:00%:00Z,No
380.9250000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T00:14%:59Z,No
380.4937500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T00:30%:00Z,No
379.4312500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T00:45%:00Z,No
378.5312500000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T00:59%:59Z,No
377.3125000000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T01:15%:00Z,No
376.2937500000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T01:30%:00Z,No
375.2312500000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T01:44%:59Z,No
375.3437500000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T02:00%:00Z,No
374.5437500000003,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T02:15%:00Z,No
373.0812500000003,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T02:29%:59Z,No
372.4062500000003,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T02:45%:00Z,No
372.7875000000003,,,,1.0,0.0,0.0,0.0,No,0,No,2017-08-30T03:00%:00Z,No
372.6875000000003,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T03:14%:59Z,No
372.1625000000003,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T03:30%:00Z,No
372.3812500000003,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T03:45%:00Z,No
372.1312500000003,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T03:59%:59Z,No
372.0250000000003,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T04:15%:00Z,No
371.7500000000003,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T04:30%:00Z,No
371.7312500000003,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T04:44%:59Z,No
371.9125000000003,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T05:00%:00Z,No
372.0500000000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T05:15%:00Z,No
371.7312500000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T05:29%:59Z,No
371.2062500000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T05:45%:00Z,No
369.3687500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T06:00%:00Z,No
367.6937500000001,,,,1.0,0.0,0.0,0.0,No,0,No,2017-08-30T06:14%:59Z,No
366.7687500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T06:30%:00Z,No
365.5500000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T06:45%:00Z,No
363.8062500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T06:59%:59Z,No
362.2875000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T07:15%:00Z,No
360.9312500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T07:30%:00Z,No
359.3750000000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T07:44%:59Z,No
358.0375000000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T08:00%:00Z,No
356.8562500000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T08:15%:00Z,No
355.9687500000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T08:29%:59Z,No
355.4812500000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T08:45%:00Z,No
355.2750000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T09:00%:00Z,No
355.0125000000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T09:14%:59Z,No
355.2500000000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T09:30%:00Z,No
355.6062500000002,,,,1.0,0.0,0.0,0.0,No,0,No,2017-08-30T09:45%:00Z,No
356.1312500000003,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T09:59%:59Z,No
357.0500000000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T10:15%:00Z,No
358.3375000000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T10:30%:00Z,No
359.6437500000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T10:44%:59Z,No
360.8750000000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T11:00%:00Z,No
361.9437500000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T11:15%:00Z,No
362.8625000000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T11:29%:59Z,No
363.6812500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T11:45%:00Z,No
364.6250000000001,,,,1.0,0.0,0.0,0.0,No,0,No,2017-08-30T12:00%:00Z,No
365.2500000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T12:14%:59Z,No
365.6062500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T12:30%:00Z,No
365.8783808786749,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T12:45%:00Z,No
366.008571487146,,,,1.0,0.0,0.0,0.0,No,0,No,2017-08-30T12:59%:59Z,No
366.3608763171923,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T13:15%:00Z,No
366.6962255012506,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T13:30%:00Z,No
367.0911748124155,,,,1.0,0.0,0.0,0.0,No,0,No,2017-08-30T13:44%:59Z,No
367.5816556644389,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T14:00%:00Z,No
367.9754751117307,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T14:15%:00Z,No
368.2210658493584,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T14:29%:59Z,No
368.7887362130469,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T14:45%:00Z,No
369.8581701791792,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T15:00%:00Z,No
371.2496773647957,,,,1.0,0.0,0.0,0.0,No,0,No,2017-08-30T15:14%:59Z,No
373.0741930275945,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T15:30%:00Z,No
375.3020280659314,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T15:45%:00Z,No
377.85661901882,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T15:59%:59Z,No
380.9895280659314,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T16:15%:00Z,No
384.6554430275945,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T16:30%:00Z,No
388.6212964861209,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T16:44%:59Z,No
392.8370986920334,41.0,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T17:00%:00Z,No
397.2528598958548,41.0,,,0.0,1.0,0.0,0.0,No,0,No,2017-08-30T17:15%:00Z,No
401.8185903481079,41.0,,,0.0,1.0,0.0,0.0,No,0,No,2017-08-30T17:29%:59Z,No
406.4843002993154,41.0,,,0.0,1.0,0.0,0.0,No,0,No,2017-08-30T17:45%:00Z,No
411.2000000000002,41.0,,,0.0,1.0,0.0,0.0,No,0,No,2017-08-30T18:00%:00Z,No
415.9156997006849,41.0,,,0.0,1.0,0.0,0.0,No,0,No,2017-08-30T18:14%:59Z,No
420.5814096518923,41.0,,,0.0,1.0,0.0,0.0,No,0,No,2017-08-30T18:30%:00Z,No
425.1471401041454,41.0,,,0.0,1.0,0.0,0.0,No,0,No,2017-08-30T18:45%:00Z,No
429.5629013079667,41.0,,,0.0,1.0,0.0,0.0,No,0,No,2017-08-30T18:59%:59Z,No
433.7787035138792,41.0,,,0.0,1.0,0.0,0.0,No,0,No,2017-08-30T19:15%:00Z,No
437.7445569724056,40.9375,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T19:30%:00Z,No
441.4104719340686,40.8125,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T19:44%:59Z,No
443.31838098118,40.6875,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T20:00%:00Z,No
446.3854719340686,40.5625,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T20:15%:00Z,No
452.3008069724056,40.375,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T20:29%:59Z,No
459.1253226352043,40.125,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T20:45%:00Z,No
467.9105798208208,39.9375,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T21:00%:00Z,No
476.6612637869531,39.8125,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T21:14%:59Z,No
487.9226841506417,39.6875,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T21:30%:00Z,No
498.0057748882692,39.5625,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T21:45%:00Z,No
506.987094335561,39.484375,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T21:59%:59Z,No
516.2650751875844,39.484375,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T22:15%:00Z,No
525.0412744987493,39.546875,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T22:30%:00Z,No
534.1516236828077,39.671875,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T22:44%:59Z,No
544.585178512854,39.875,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T23:00%:00Z,No
556.796619121325,40.125,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T23:15%:00Z,No
572.5562499999997,40.4375,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-30T23:29%:59Z,No
