,Вінницька,Волинська,Дніпропетровська,Донецька,Житомирська,Закарпатська,Запорізька,Івано-Франківська,Київська,Кіровоградська,Луганська,Львівська,Миколаївська,м. Київ,Одеська,Полтавська,Рівненська,Сумська,Тернопільська,Харківська,Херсонська,Хмельницька,Черкаська,Чернівецька,Чернігівська
Луганська,0.9696811553158473,0.9757212898878147,0.9831752361280578,0.9652318068643234,0.9551862912805221,0.9280927804010607,0.9643737002589513,0.975964229405885,0.9898541361144056,0.9395839591960867,0.9999999999999999,0.9082480483180091,0.9871457124248445,0.9674714532047469,0.9877931635668047,0.9710868191769929,0.9215328462464427,0.9777232438984037,0.979169450340232,0.9821264856530884,0.9540054249390711,0.9838068908143318,0.987641118110331,0.9426120414222139,0.985317694193013
Львівська,0.9891335178891304,0.9913059926784362,0.927400420882178,0.946254657685366,0.9665309422445748,0.9844018324817815,0.9481750411178127,0.9838760716795147,0.9827140378501499,0.8927666913216536,0.9501294076071422,1.0,0.9557314955519235,0.9795834925876415,0.9801382474559551,0.9266604237034135,0.9872561721983785,0.959712228736381,0.9759844181397955,0.9810041039138546,0.9263651241842613,0.9599534453586793,0.9341683849709373,0.9473111595685656,0.966720619165131
Миколаївська,0.9862633207127938,0.9861227526159898,0.9960213246608587,0.9842528037216751,0.9857875884260892,0.9127674892392187,0.9813189719758669,0.961158263298132,0.9942015383836272,0.9527852620382058,0.977913511239121,0.9379437511502186,1.0,0.9785707217722129,0.991676313189981,0.9857559647478628,0.9427719885158139,0.9817558282004327,0.9628048586941244,0.9949394073412499,0.9814227574904048,0.9950174186394694,0.9974258833358385,0.9781660369455059,0.9949599998433383
м. Київ,0.989768827988036,0.9799200536766206,0.9543444695767941,0.93574847448273,0.960723054739273,0.9593424474586721,0.9307991574983301,0.983773308714559,0.9861796238262277,0.8862671861015139,0.9659339188748394,0.9565787497117892,0.9655777345671447,1.0,0.9892553581386372,0.931877767678271,0.9737868585137391,0.9441381566069811,0.9668050560641328,0.9856858317818449,0.9198773899853236,0.9776788762569428,0.9666195034173775,0.9375183196475755,0.9894946440780343
Одеська,0.99320929568771,0.98900177610053,0.9788708928990043,0.9708269059452795,0.9803236779905192,0.9364845301254779,0.9697109614823083,0.9737182406417622,0.9908843061521885,0.9327217294567203,0.9686062592317667,0.9621801237790286,0.9868247566376182,0.994938233492416,1.0,0.9651979268101145,0.9689956051045664,0.9686669689688368,0.9693588437435288,0.9976702868281908,0.9645295599709556,0.9926870708630783,0.9864563166280744,0.975726313899451,0.994648442869307
Полтавська,0.9649282463750216,0.9776307197562853,0.9924021367513631,0.9944945283620245,0.9859790071973354,0.9130121068966505,0.993316832247864,0.9608351668865966,0.9861102674936626,0.9732951309367226,0.9845506723279253,0.9230805345333895,0.9920062845986993,0.9540093726293823,0.9897100526703067,1.0,0.9196230397073469,0.9931395979465615,0.9768976900990177,0.989983485908724,0.9942310126484076,0.9925291280765285,0.9948162972465243,0.9781440588813809,0.9913761926929255
Рівненська,0.9839987603414647,0.9751424476694531,0.9318649300484281,0.9392400110226561,0.9605246130339284,0.965708067359894,0.9217566378503483,0.9704157731475298,0.9652382181546079,0.8845543920699219,0.9348143552429601,0.9872561721983785,0.9427719885158138,0.9878913179756422,0.9783682284442121,0.9196230397073469,0.9999999999999999,0.949821122565569,0.9671494116513167,0.9768440597229339,0.9166185810095878,0.9503349436473149,0.9388138352389671,0.9520843851786245,0.9649449298723574
Сумська,0.9648157431778723,0.9797621286947514,0.9955303125270158,0.9920489744968531,0.9806888511285602,0.9188333230298396,0.9924610727101388,0.9704484972769298,0.9892043858739777,0.9758152994746389,0.9974874113857,0.925779655417951,0.9955699635782282,0.9588726281489307,0.9890310109939262,0.9877186832437552,0.9235283309851349,1.0,0.9897313950112719,0.9876436697176663,0.9855159489882809,0.9903157020890967,0.9959303813208868,0.9734467332899652,0.9890933562686433
Тернопільська,0.9121296618762283,0.9321248342925839,0.6924488154351092,0.881697380205253,0.7242180901601089,0.954955702043983,0.6358333866270444,0.9483614412378556,0.776089363411565,0.5647593609703621,0.7154458849488655,0.9694427547645408,0.7336961149720505,0.8424750207015608,0.799928842538059,0.6344459221722146,0.8808771035061186,0.6472704527064792,1.0,0.78553461945604,0.6230026327169094,0.7968153316555431,0.735740308110383,0.7549303145620528,0.8631206665801172
Харківська,0.995392879160568,0.9920370083341351,0.9840049541463385,0.9758170967714392,0.979671833284041,0.9283077939911312,0.971710314683486,0.972739455987824,0.9913594549570626,0.933953459648,0.9745241972701815,0.9565440133349777,0.9899921872579166,0.9937949702835133,0.997663449597487,0.9719503640030513,0.9658933433160758,0.9742365891942808,0.9713749061283182,1.0,0.967444598406122,0.9953922576356053,0.9904700334580991,0.9751753414164487,0.9965724319572894
Херсонська,0.9585516205024457,0.97630564509537,0.9939728465405258,0.9984105337032829,0.9933872467265515,0.9259990230085678,0.9984997679228393,0.9754881494401658,0.9872386792035234,0.9830631184236658,0.9935827079997499,0.9263651241842613,0.9965105552280451,0.9510311489869924,0.9913421679206132,0.9954840318419291,0.9166185810095878,0.9973569712626341,0.9839294464708137,0.9874371975056164,1.0,0.9927731286611633,0.9977254840279444,0.9871732207537686,0.9920449200969703
Хмельницька,0.9893401795782866,0.9922690991881372,0.9885355690102158,0.9840545779885163,0.9814614458367489,0.9193156511077889,0.9821878398905927,0.9750945430101736,0.9949333390453806,0.9530681438069137,0.987166584324257,0.9444268588764236,0.9943880763927908,0.986188603136372,0.9968572225880591,0.9786580750147691,0.9501485711337112,0.9869005667683278,0.9803436745454036,0.9973450983844802,0.9751827033635159,1.0,0.9926919624798505,0.9749419592008487,0.9985465416459771
Черкаська,0.986430014014198,0.9870554688074666,0.9970630820056576,0.9842616214561464,0.9816956486527058,0.9115095566433957,0.9821613034235698,0.9647673046759907,0.9931117744585679,0.952378531692206,0.98318460033299,0.933780253324724,0.9973826256727044,0.9788762153373556,0.9932497430932976,0.9862837697872362,0.9388138352389672,0.9798443163512843,0.9645040938610795,0.9963457516869177,0.9800364128166852,0.9944188477761716,1.0,0.9730399262181358,0.9961833317260128
Чернівецька,0.9691861887964681,0.9814650974774493,0.9822131641923733,0.9850504942063713,0.9957620052161765,0.9479873744947559,0.9871259685634393,0.9861654523369501,0.9832123120177045,0.9724585992944031,0.9822040866335634,0.9473111595685657,0.9865200901821733,0.9641488617957887,0.9836864090299291,0.9796495147038793,0.9512905803881055,0.9861762476062066,0.9817344706870857,0.9844711668520729,0.9872195359854876,0.9854180422487582,0.9862551830196231,1.0,0.9892548108796777
Чернігівська,0.9916953228231646,0.9878448712471573,0.9810845276647704,0.9659041754093012,0.9657069201373945,0.940689303159128,0.9626863730220304,0.9771717867148786,0.9949449172939281,0.924243326728846,0.9849806796237344,0.9421531214371575,0.9872118828751701,0.9919124634592013,0.9963954587721953,0.9654381369485717,0.9555953633802917,0.97071173263568,0.9717684687832328,0.9956254499510766,0.9545392347418907,0.9945764357703664,0.9895486091732437,0.9585203018408459,1.0
